HS Code,Chapter,Tariff Description,CD,SD,VAT,AIT,RD,AT,TTI,Source Page
01012100,01,Pure-bred breeding animals of horses..,5,0,0,5,0,0,10.00,1
01012900,01,Other horses,5,0,0,5,0,0,10.00,1
01013000,01,Asses,5,0,0,5,0,0,10.00,1
01019000,01,"LIVE HORSES,ASSES,MULES AND HINNIES,NES",5,0,0,5,0,0,10.00,1
01022100,01,Pure-bred breeding animals of cattle,0,0,0,2,0,0,2.00,1
01022900,01,Other cattle,0,0,0,2,0,0,2.00,1
01023100,01,Pure-bred breeding animals of buffalo,0,0,0,2,0,0,2.00,1
01023900,01,Other buffalo,0,0,0,2,0,0,2.00,1
01029010,01,Other pure-bred breeding animals,0,0,0,2,0,0,2.00,1
01029090,01,Other live bovine animal,0,0,0,2,0,0,2.00,1
01031000,01,Live Pure-Bred Breeding Swine,5,0,0,5,0,0,10.00,1
01039100,01,Live Swine Weighing <50kg (Excl. Pure-Bred Breeding),5,0,0,5,0,0,10.00,1
01039200,01,Live Swine Weighing >=50kg (Excl. Pure-Bred Breeding),5,0,0,5,0,0,10.00,1
01041000,01,Live sheep,5,0,0,5,0,0,10.00,1
01042000,01,Live Goats,5,0,0,5,0,0,10.00,1
01051110,01,Fowls Of The Species Gallus Domestic(Parent Stock One Day Chick),0,0,0,2,0,0,2.00,1
01051190,01,"Live Fowls Gallus,Domesticus<=185g, Excl.Parent Stock Of One Day Chick",15,0,0,5,0,0,20.00,1
01051210,01,"Live Turkeys Weighing <=185g, (Parent Stock Of One Day Chick)",0,0,0,2,0,0,2.00,1
01051290,01,"Live Turkeys Weighing <=185g, (Excl.Parent Stock Of One Day Chick)",15,0,0,5,0,0,20.00,1
01051310,01,Parent stock of one day chick of ducks,0,0,0,2,0,0,2.00,1
01051390,01,Other ducks,15,0,0,5,0,0,20.00,1
01051410,01,Parent stock of one day chick of geese,0,0,0,2,0,0,2.00,1
01051490,01,Other Geese,15,0,0,5,0,0,20.00,1
01051510,01,Parent stock of one day chick of guinea fowls,0,0,0,2,0,0,2.00,1
01051590,01,Other fowls,25,0,0,5,5,0,35.00,1
01059400,01,Fowls of the species Gallus domesticus,15,0,0,5,0,0,20.00,1
01059900,01,"Live Ducks, Geese, Turkeys And Guinea Fowls Weighing >185g",15,0,0,5,0,0,20.00,1
01061100,01,"MAMMALS, PRIMATES",5,0,0,5,0,0,10.00,1
01061200,01,"WHALES,DOLPHINS &...;SEALS,SEA LIONS & WALRUSES(MAMMALS OF THE SUBORDER PINNIPEDIA)",5,0,0,5,0,0,10.00,1
01061300,01,Camels and other camelids ( Camelidae),5,0,0,5,0,0,10.00,1
01061400,01,Rabbits and hares,5,0,0,5,0,0,10.00,1
01061900,01,"MAMMALS, NES",5,0,0,5,0,0,10.00,1
01062000,01,REPTILES (INCLUDING SNAKES AND TURTLES),5,0,0,5,0,0,10.00,1
01063100,01,BIRDS OF PREY,25,0,0,5,5,0,35.00,1
01063200,01,"PSITTACIFORMES (INCLUDING PARROTS, PARAKEETS, MACAWS AND COCKATOOS)",25,0,0,5,5,0,35.00,1
01063300,01,Ostriches; emus ( Dromaius novaehollandiae),15,0,0,5,0,0,20.00,1
01063900,01,OTHER BIRDS,25,0,0,5,5,0,35.00,1
01064100,01,Bees,0,0,0,5,0,0,5.00,1
01064900,01,Other Insects,5,0,0,5,0,0,10.00,1
01069000,01,"OTHER LIVE ANIMALS, NES",5,0,0,5,0,0,10.00,1
02011010,02,"Fresh Or Chilled Bovine Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,1
02011090,02,"Fresh Or Chilled Bovine Carcasses And Half Carcasses, Nes",25,10,0,5,5,0,48.00,1
02012010,02,"Fresh Or Chilled,Other Cuts Of Bovine Meat With Bone In, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,1
02012090,02,"Fresh Or Chilled,Other Cuts Of Bovine Meat With Bone In, Nes",25,10,0,5,5,0,48.00,1
02013010,02,"Fresh Or Chilled Boneless Bovine Meat, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,1
02013090,02,"Fresh Or Chilled Boneless Bovine Meat, Nes",25,10,0,5,5,0,48.00,1
02021010,02,"Frozen Bovine Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,1
02021090,02,"Frozen Bovine Carcasses And Half Carcasses, Nes",25,10,0,5,5,0,48.00,1
02022010,02,"Frozen Other Cuts Of Bovine Meat With Bone In, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,1
02022090,02,"Frozen, Other Cuts Of Bovin Meat With Bone In, Nes",25,10,0,5,5,0,48.00,1
02023010,02,"Frozen Boneless Bovine Meat, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,1
02023090,02,"Frozen Boneless Bovine Meat, Nes",25,10,0,5,5,0,48.00,1
02031110,02,"Fresh Or Chilled Swine Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,0,15,5,5,7.5,64.25,1
02031190,02,"Fresh Or Chilled Swine Carcasses And Half Carcasses, Nes",25,0,0,5,5,0,35.00,1
02031210,02,"Fresh Or Chilled Hams,Shoulders&Cuts Thereof,With Bone In, Wrapped/Canned upto 2.5 kg",25,0,15,5,5,7.5,64.25,1
02031290,02,"Fresh/Chilled Hams,Shoulders & Cuts Thereof,With Bone In, Nes",25,0,0,5,5,0,35.00,1
02031910,02,"Fresh Or Chilled Swine Meat, Nes, Wrapped/Canned upto 2.5 kg",25,0,15,5,5,7.5,64.25,1
02031990,02,"Fresh Or Chilled Swine Meat, Nes",25,0,0,5,5,0,35.00,1
02032110,02,"Frozen Swine Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,0,15,5,5,7.5,64.25,1
02032190,02,"Frozen Swine Carcasses And Half Carcasses, Nes",25,0,0,5,5,0,35.00,1
02032210,02,"Frozen Hams,Shoulders & Cuts Thereof,With Bone In, Wrapped/Canned upto 2.5 kg",25,0,15,5,5,7.5,64.25,1
02032290,02,"Frozen Hams,Shoulders & Cuts Thereof Of Swine,With Bone In, Nes",25,0,0,5,5,0,35.00,1
02032910,02,"Frozen Swine Meat, Nes, Wrapped/Canned upto 2.5 kg",25,0,15,5,5,7.5,64.25,1
02032990,02,"Frozen Swine Meat, Nes",25,0,0,5,5,0,35.00,1
